x_m,y_m
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
14.916133,3.556240
