x_m,y_m
17.589214,-4.027123
17.595036,-4.022471
17.599718,-4.018685
17.607410,-4.012757
17.613039,-4.008096
17.617689,-4.004196
17.623465,-3.999603
17.628653,-3.995083
17.634357,-3.990299
17.640430,-3.985084
17.644831,-3.981438
17.652561,-3.974682
17.658089,-3.970689
17.663048,-3.966540
17.668783,-3.961641
17.674492,-3.957041
17.679655,-3.952867
17.685240,-3.948201
17.689896,-3.944562
17.697853,-3.938024
17.703222,-3.933459
17.707834,-3.930184
17.713316,-3.925343
17.719202,-3.920528
17.724821,-3.915930
17.730263,-3.911523
17.735182,-3.907508
17.743156,-3.900753
17.748659,-3.896193
17.753138,-3.892672
17.759048,-3.887748
17.764376,-3.883362
17.770254,-3.878640
17.775665,-3.874270
17.782551,-3.868666
17.787943,-3.864214
17.793495,-3.859938
17.798105,-3.856190
17.804043,-3.851275
17.809589,-3.846770
17.814966,-3.842438
17.820770,-3.837785
17.826164,-3.833750
17.834154,-3.827520
17.840202,-3.823551
17.845116,-3.820251
17.851347,-3.816556
17.858080,-3.812982
17.864155,-3.809503
17.871897,-3.805940
17.875994,-3.804064
17.885389,-3.799968
17.892107,-3.797217
17.897726,-3.794991
17.904846,-3.792378
17.911867,-3.789720
17.918669,-3.787497
17.925547,-3.785531
17.931541,-3.783832
17.941505,-3.781731
17.948399,-3.780397
17.954538,-3.779361
17.962023,-3.778689
17.969273,-3.777427
17.976149,-3.776932
17.983519,-3.776123
17.992716,-3.775590
18.000015,-3.775280
18.007429,-3.775206
18.013903,-3.775445
18.021183,-3.775508
18.028818,-3.776258
18.036272,-3.776708
18.042879,-3.777459
18.052113,-3.779063
18.059158,-3.780152
18.066347,-3.781726
18.072353,-3.782926
18.079548,-3.784832
18.086765,-3.786813
18.093836,-3.788960
18.100218,-3.791241
18.106480,-3.793315
18.116161,-3.797134
18.122330,-3.799594
18.128580,-3.802136
18.135256,-3.805036
18.141790,-3.807537
18.148436,-3.810491
18.155037,-3.813112
18.160467,-3.815380
18.170366,-3.819227
18.177011,-3.821882
18.182295,-3.824042
18.189281,-3.826802
18.195936,-3.829490
18.203064,-3.832365
18.211405,-3.835938
18.215561,-3.837511
18.225164,-3.841451
18.231693,-3.844315
18.236809,-3.846476
18.243633,-3.849075
18.249411,-3.851393
18.256283,-3.854127
