x_m,y_m
6.713203,9.550513
6.712993,9.550470
6.713193,9.550528
6.713386,9.550502
6.713234,9.550588
6.713266,9.550634
6.713343,9.550599
6.713314,9.550569
6.713470,9.550438
6.713415,9.550468
6.713398,9.550614
6.713432,9.550686
6.713277,9.550682
6.713428,9.550697
6.713667,9.550580
6.713415,9.550748
6.713549,9.550792
6.713490,9.550798
6.713553,9.550733
6.713445,9.550752
6.713561,9.550765
6.713566,9.550684
6.713459,9.550714
6.713513,9.550763
6.713674,9.550960
6.713600,9.551052
6.713495,9.551112
6.713547,9.551223
6.713652,9.551286
6.713594,9.551324
6.713747,9.551353
6.713829,9.551378
6.713875,9.551427
6.713904,9.551505
6.713939,9.551497
6.714100,9.551464
6.714049,9.551478
6.713992,9.551588
6.714124,9.551561
6.713907,9.551540
6.713874,9.551454
6.713894,9.551435
6.714076,9.551628
6.713981,9.551660
6.713708,9.551842
6.713741,9.551866
6.713791,9.551970
6.713698,9.551981
6.713800,9.552053
6.713746,9.552211
6.713803,9.552185
6.713909,9.552219
6.713945,9.552225
6.713955,9.552375
6.713953,9.552279
6.713987,9.552289
6.713840,9.552234
6.713892,9.552318
6.714287,9.552349
6.714279,9.552332
6.714232,9.552333
6.714146,9.552199
6.714135,9.552190
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714136,9.552210
6.714206,9.552279
6.714479,9.554852
6.714602,9.558890
6.714624,9.562725
6.715346,9.566890
6.715358,9.570870
6.715706,9.575689
6.715900,9.578213
6.716332,9.583141
6.716726,9.586816
6.717000,9.590488
6.717347,9.594215
6.717667,9.597984
6.718111,9.601659
6.718372,9.606743
6.718676,9.609507
6.719110,9.614682
6.719304,9.618221
6.719671,9.621626
6.719971,9.625236
6.720308,9.629148
6.720665,9.632751
6.720992,9.637684
6.721293,9.640257
6.721678,9.644761
6.722025,9.649055
6.722322,9.653000
6.722569,9.656666
6.722763,9.659863
6.723073,9.663640
6.723350,9.667332
6.723666,9.671417
6.723994,9.676321
6.724237,9.679527
6.724593,9.683399
6.724988,9.687391
6.725213,9.690681
6.725533,9.694389
6.725819,9.698371
6.726172,9.702029
6.726849,9.707353
6.727180,9.711045
6.727441,9.713813
6.727831,9.717602
6.728186,9.721915
6.728566,9.725464
6.728936,9.728866
6.729167,9.732459
6.729528,9.737217
6.729884,9.741405
6.730248,9.745122
6.730662,9.748845
6.730850,9.752194
6.731007,9.756121
6.731300,9.759871
6.731518,9.763447
6.731731,9.768333
6.732095,9.771865
6.732456,9.775245
6.732866,9.779034
6.733146,9.782969
6.733654,9.786946
6.734058,9.790306
6.734394,9.793464
6.734741,9.798321
6.735011,9.801715
6.735429,9.805642
6.735609,9.807671
6.735615,9.807776
6.735555,9.807760
6.735581,9.807878
6.735557,9.807800
6.735570,9.807869
6.735580,9.807858
6.735580,9.807858
6.735580,9.807858
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735622,9.807890
6.735455,9.807650
6.735639,9.807327
6.735737,9.807201
6.735600,9.807158
6.735352,9.807108
6.735476,9.807035
6.735620,9.807075
6.735434,9.807166
6.735693,9.806889
6.735585,9.806835
6.735523,9.807014
6.735524,9.807035
6.735507,9.806971
6.735588,9.806884
6.735545,9.806917
6.735510,9.806832
6.735391,9.806746
6.735196,9.806777
6.735134,9.806778
6.735085,9.806866
6.735120,9.806819
6.735031,9.806804
6.735027,9.806907
6.735120,9.806861
6.734921,9.806852
6.734962,9.806694
6.734994,9.806738
6.734911,9.806783
6.734913,9.806830
6.734927,9.806768
6.735044,9.806686
6.735015,9.806653
6.734865,9.806679
6.734951,9.806467
6.735053,9.806357
6.735043,9.806441
6.735141,9.806416
6.734994,9.806491
6.734989,9.806330
6.734816,9.806413
6.735013,9.806344
6.735042,9.806285
6.734874,9.806372
6.734883,9.806301
6.734746,9.806343
6.734618,9.806432
6.734756,9.806274
6.734944,9.806462
6.735020,9.806555
6.735016,9.806562
6.734702,9.806480
6.734600,9.806375
6.734497,9.806413
6.734501,9.806421
6.734520,9.806296
6.734519,9.806399
6.734364,9.806362
6.734340,9.806297
6.734334,9.806267
6.734404,9.806278
6.734569,9.806343
6.734483,9.806418
6.734257,9.806218
6.734291,9.806220
6.734387,9.806207
6.734379,9.806228
6.734589,9.806406
6.734360,9.806374
6.734148,9.806337
6.734180,9.806388
6.734236,9.806433
6.734248,9.806609
6.734276,9.806281
6.734194,9.806282
6.733932,9.806356
6.733885,9.806385
6.734067,9.806552
6.734038,9.806523
6.733932,9.806377
6.733710,9.806480
6.733650,9.806244
6.733796,9.806314
6.733929,9.806352
6.733870,9.806293
6.733772,9.806217
6.733665,9.806313
6.733604,9.806334
6.733600,9.806389
6.733711,9.806560
6.733512,9.806210
6.732967,9.806561
6.732924,9.806595
6.733090,9.806527
6.733207,9.806491
6.733096,9.806408
6.733030,9.806480
6.733067,9.806418
6.733012,9.806486
6.733022,9.806476
6.733022,9.806476
6.733032,9.806485
6.735125,9.806386
6.739134,9.806420
6.744002,9.805482
6.747478,9.805159
6.750924,9.804996
6.752805,9.804403
6.752255,9.804904
6.751861,9.805043
6.751987,9.804887
6.751973,9.804953
6.751914,9.804955
6.751914,9.804955
6.751904,9.804966
6.751904,9.804966
6.751904,9.804966
6.752296,9.804518
6.752346,9.804658
6.752465,9.804732
6.752596,9.804593
6.752736,9.804532
6.752913,9.804460
6.752937,9.804600
6.752969,9.804682
6.752847,9.804628
6.752894,9.804647
6.752859,9.804765
6.753311,9.804655
6.753622,9.804850
6.753885,9.804684
6.753656,9.804826
6.753649,9.804768
6.753805,9.804837
6.753723,9.805052
6.753694,9.804943
6.753616,9.804869
6.753470,9.804749
6.753445,9.804828
6.753649,9.804852
6.753762,9.804824
6.753580,9.804825
6.753428,9.804918
6.753458,9.804869
6.753868,9.804764
6.753873,9.804760
6.753800,9.804749
6.753660,9.804819
6.753595,9.804828
6.753734,9.804769
6.753946,9.804832
6.753945,9.804943
6.753891,9.805081
6.753847,9.805036
6.753821,9.805057
6.753819,9.805002
6.753844,9.805050
6.753873,9.805070
6.753919,9.805113
6.753885,9.805156
6.753870,9.805127
6.753909,9.805171
6.753823,9.805306
6.753870,9.805561
6.753720,9.805511
6.753663,9.805430
6.753908,9.805329
6.753766,9.805494
6.753747,9.805679
6.753962,9.805627
6.753890,9.805620
6.753791,9.805673
6.753795,9.805674
6.753880,9.805762
6.753730,9.805793
6.753729,9.805817
6.753784,9.805769
6.753866,9.805693
6.753890,9.805761
6.753675,9.805720
6.753827,9.805716
6.753994,9.805684
6.753963,9.805740
6.753842,9.805775
6.753913,9.805932
6.753965,9.805980
6.753886,9.805911
6.754051,9.805826
6.753862,9.805753
6.753801,9.805730
6.753962,9.805946
6.753933,9.806005
6.754025,9.805944
6.754029,9.805840
6.753995,9.805845
6.754040,9.805873
6.753958,9.805908
6.754025,9.805924
6.754087,9.805990
6.754157,9.806012
6.754130,9.806136
6.754059,9.806243
6.754073,9.806161
6.754009,9.806120
6.754153,9.806292
6.754213,9.806346
6.754314,9.806492
6.754463,9.806623
6.754565,9.806746
6.754599,9.806733
6.754636,9.806606
6.754575,9.806571
6.754566,9.806581
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754575,9.806571
6.754689,9.808105
6.754941,9.812248
6.755254,9.816713
6.755760,9.822241
6.755935,9.825857
6.756361,9.829155
6.756682,9.832697
6.756996,9.836396
6.757138,9.840578
6.757401,9.844488
6.757762,9.848166
6.758048,9.853089
6.758413,9.856881
6.758803,9.860578
6.759016,9.864174
6.759366,9.868089
6.759748,9.871631
6.760157,9.875494
6.760536,9.880104
6.760765,9.882236
6.761407,9.887865
6.761846,9.891800
6.762129,9.895353
6.762429,9.898398
6.762964,9.902112
6.763202,9.905543
6.763582,9.909478
6.764059,9.913011
6.764452,9.918089
6.764867,9.921714
6.765267,9.925407
6.765599,9.928897
6.765917,9.932299
6.766333,9.936327
6.766607,9.940196
6.767147,9.945088
6.767422,9.949057
6.767618,9.952381
6.768148,9.955891
6.768408,9.959354
6.768835,9.963016
6.769197,9.966742
6.769676,9.971837
6.769882,9.975428
6.770306,9.979096
6.770486,9.982851
6.771047,9.986647
6.771353,9.990247
6.771379,9.991948
6.771426,9.992064
6.771365,9.991586
6.771404,9.991584
6.771447,9.991809
6.771457,9.991986
6.771389,9.991958
6.771367,9.991920
6.771368,9.991940
6.771368,9.991940
6.771368,9.991940
6.771368,9.991940
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771332,9.991913
6.771143,9.991653
6.771257,9.991361
6.771266,9.991235
6.771123,9.991241
6.771054,9.991422
6.771005,9.991320
6.771080,9.991323
6.771135,9.991446
6.771012,9.991446
6.771038,9.991405
6.771090,9.991174
6.770976,9.991220
6.771199,9.991174
6.770669,9.990849
6.770464,9.990801
6.770656,9.990945
6.770861,9.990993
6.770692,9.990893
6.770704,9.990900
6.770704,9.990900
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.770717,9.990907
6.771296,9.992879
6.772851,9.997631
6.775347,10.004542
6.778451,10.012500
6.782631,10.025216
6.785944,10.034900
6.788900,10.044317
6.792162,10.053227
6.795183,10.062099
6.798436,10.071898
6.801367,10.081241
6.804356,10.090081
6.807167,10.099080
6.811354,10.111338
6.814379,10.120565
6.817478,10.129892
6.820430,10.139194
6.823608,10.148183
6.826636,10.157269
6.829488,10.166053
6.833494,10.178669
6.836492,10.188075
6.839699,10.196840
6.842583,10.206161
6.845801,10.215341
6.848599,10.224588
6.851786,10.233690
6.854992,10.242889
6.859164,10.255363
6.862255,10.264553
6.865278,10.273457
6.868178,10.282608
6.871191,10.291488
6.874305,10.301189
6.877218,10.310242
6.880357,10.319690
6.883284,10.328820
6.887488,10.340946
6.890309,10.349972
6.893227,10.358828
6.895983,10.368077
6.899290,10.377432
6.902350,10.386293
6.905164,10.395443
6.909315,10.407564
6.912544,10.416986
6.915642,10.426361
6.918715,10.435228
6.921946,10.444388
6.924697,10.453657
6.927934,10.462999
6.931823,10.475029
6.935050,10.484297
6.938210,10.493578
6.941065,10.502678
6.944026,10.511664
6.947003,10.520755
6.950150,10.529855
6.953302,10.539385
6.956281,10.548800
6.960402,10.560754
6.963511,10.570142
6.966544,10.579165
6.969666,10.587917
6.972679,10.596843
6.975715,10.606181
6.978770,10.615414
6.981844,10.624640
6.986024,10.636661
6.989133,10.646066
6.992282,10.655288
6.995393,10.664601
6.998391,10.673583
7.001391,10.683002
7.004367,10.692422
